details,date,city,state,country,shape,summary,report_date,posted_date,month_count
https://nuforc.org/sighting/?id=177892,08/2023,Colorado Springs,CO,USA,Orb,I took a video,08/29/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177903,08/2023,Ann Arbor,MI,USA,Cigar,White tube shaped CLEAR and huge object frozen in bright blue sky then disappeared.,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177910,08/2023,Amble,Northumberland,United Kingdom,Circle,Dark circle on horizon above sea moving up and down above the horizon.,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177809,08/2023,Syros,NA,Greece,Unknown,Object clearly visible but shape not clear and not behaving like an aircraft,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177899,08/2023,Ponderosa,CA,USA,Circle,Hovering white disk with hole in the middle hovering for hours then flying north out of sight at noon.Then it returns at 3PM still here,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177904,08/2023,Vallejo,CA,USA,Changing,"Two objects crest of the mountain range north east of Highway 37 objects were changing shapes, rapid, movement, and Landed.",08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177900,08/2023,Massillon,OH,USA,Star,Fast moving craft,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177811,08/2023,Vista,CA,USA,Orb,15+ Multiple orbs of light observed flying in different directions,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177875,08/2023,New York City,NY,USA,Orb,Flyin white orb with blue trail very bright,08/29/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177909,08/2023,Cedar City,UT,USA,Light,"Fueling equipment at the BZI project, I watched ufo's flying around above 3 peaks. Something was there with me.",08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178221,08/2023,Cedar City,UT,USA,Light,Something was watching me on the ground and sky,09/11/2023,10/28/2023,524
https://nuforc.org/sighting/?id=177812,08/2023,Cambria,CA,USA,Other,White light with solid red cap and green triangle sat in the night sky for a couple of minutes and them swiftly moved across the sky.,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177898,08/2023,Simpsonville,SC,USA,Orb,"""Water Bug"" orbs and other lights flying every night for the past 9 months.",08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178395,08/2023,Byesville,OH,USA,Oval,Ship went over house low have picture of entire ship,09/22/2023,10/28/2023,524
https://nuforc.org/sighting/?id=177814,08/2023,Jensen Beach,FL,USA,Formation,15 - 20 lights in line vanishing one by one into small cloud,08/27/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178070,08/2023,Stevens Point,WI,USA,Changing,An aluminum colored object that I first thought was a weather balloon but after reviewing the footage wondered otherwise.,09/05/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177821,08/2023,Wilmington,MA,USA,Unknown,Lit object with 2 headlights flying overhead out of control,08/27/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177819,08/2023,Morgan Hill,CA,USA,Changing,"Sort of cigar - but it was fat - more big in the middle. At first I told myself it was a kite or black garbage bag, but it's impossible",08/27/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177905,08/2023,El Monte,CA,USA,Cigar,Spotted the stationary bright object. Started recording with phone and watched it vanish in thin air.,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177902,08/2023,Sanford,MI,USA,Orb,Dim star looking lights 'dancing' around erratically,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177901,08/2023,Wellington,Wellington Region,New Zealand,Cigar,Took a photo of strange objects but captured something else instead,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177828,08/2023,Boulder,CO,USA,Light,Woke up in the night and saw a intense bright light move from left to right on the horizon.,08/27/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177831,08/2023,Pine,CO,USA,Diamond,Extremely bring light that lasted for about 10 seconds in the sky then it sped off,08/27/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177931,08/2023,Colorado Springs,CO,USA,Other,Green fireball,08/31/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177816,08/2023,Phoenix,AZ,USA,Unknown,It was rainbow shaped in the front that was being propelled forward causing a rippling effect.,08/27/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177834,08/2023,Brackendale,BC,Canada,Other,Large V shape object with red lights swaying back and forth,08/26/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177906,08/2023,San Antonio,TX,USA,Cube,Bright square with orb in center,08/28/2023,09/10/2023,524
https://nuforc.org/sighting/?id=178059,08/2023,Orlando Metro area,FL,USA,Unknown,Object came up from swamp area and went into the sky.,09/05/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177820,08/2023,Briarcliff,TX,USA,Orb,"Aura emitting orb traveling South across the sky; exactly the same thing as seen in Haslet, TX sighting on 7/23/2023",08/27/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177840,08/2023,Seguin,TX,USA,Fireball,"Bright light flying, disappeared, no explanation.",08/26/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177817,08/2023,San Antonio,TX,USA,Light,Bright slow moving light. Appeared to be a search light in the distance (helicopter) (drone) then disappeared after plume of smoke,08/27/2023,09/10/2023,524
https://nuforc.org/sighting/?id=177833,08/2023,Reno,NV,USA,Changing,"A V shape of 5 white orbs going south west, changed from a white triangle to a white diamond shape before disappearing",08/26/2023,09/10/2023,524
